"Datum" "Base" "Peak" "BaseVolume" "PeakVolume"
"1" "2005-02-08" "41.94" "50.01" "224.0419" "122.653"
"2" "2005-02-09" "41.21" "47.05" "223.2528" "119.0424"
"3" "2005-02-10" "35.33" "39.63" "228.4991" "129.2776"
"4" "2005-02-11" "35.81" "41.3" "219.1582" "125.354"
"5" "2005-02-12" "27.82" "30.22" "221.318" "111.5592"
"6" "2005-02-13" "19.81" "23.35" "231.7519" "110.3479"
"7" "2005-02-14" "34.58" "41.11" "224.9255" "128.4938"
"8" "2005-02-15" "37.02" "42.51" "221.0873" "126.2857"
"9" "2005-02-16" "41.18" "48.12" "219.1646" "124.9566"
"10" "2005-02-17" "44.12" "51.42" "220.6803" "119.7314"
"11" "2005-02-18" "39.84" "43.94" "221.5447" "124.7083"
"12" "2005-02-19" "33.54" "37.31" "195.4113" "98.4831"
"13" "2005-02-20" "30.28" "32.16" "195.8631" "96.0015"
"14" "2005-02-21" "50.44" "64.07" "218.0812" "123.2177"
"15" "2005-02-22" "45.89" "56.13" "204.9554" "112.7162"
"16" "2005-02-23" "49.55" "61.27" "219.428" "121.9487"
"17" "2005-02-24" "59.83" "73.6" "210.4046" "111.932"
"18" "2005-02-25" "56.78" "72.17" "220.0874" "121.5391"
"19" "2005-02-26" "37.24" "41.89" "207.1513" "106.4122"
"20" "2005-02-27" "27.38" "28.97" "215.3116" "104.5526"
"21" "2005-02-28" "61.81" "81.91" "222.3543" "117.2939"
"22" "2005-03-01" "56.49" "70.1" "234.9242" "123.6822"
"23" "2005-03-02" "71.21" "93.85" "217.5188" "111.6379"
"24" "2005-03-03" "104.6" "141.18" "217.1529" "116.0462"
"25" "2005-03-04" "90.89" "124.87" "220.1771" "118.7713"
"26" "2005-03-05" "50" "57.55" "191.1092" "90.6023"
"27" "2005-03-06" "36.01" "36.47" "187.3879" "90.9438"
"28" "2005-03-07" "71.44" "95.01" "214.2506" "104.6445"
"29" "2005-03-08" "69.1" "94.39" "211.8215" "107.7337"
"30" "2005-03-09" "61.89" "77.4" "207.1226" "105.4992"
"31" "2005-03-10" "60.1" "74.09" "201.4747" "105.0982"
"32" "2005-03-11" "48.14" "54.58" "240.3512" "131.4394"
"33" "2005-03-12" "37.54" "40.03" "209.9661" "103.8143"
"34" "2005-03-13" "35.53" "36.4" "187.3457" "90.8796"
"35" "2005-03-14" "55.47" "70.04" "212.7085" "113.667"
"36" "2005-03-15" "46.75" "54.54" "213.5272" "112.3808"
"37" "2005-03-16" "38.38" "44.25" "228.1507" "125.4459"
"38" "2005-03-17" "33.27" "36.17" "220.5215" "118.8494"
